Volume (m^3)	Temperature (C)
4.960863	4.994774
5.018540	5.020916
5.044969	4.979272
4.995439	5.028350
5.032562	5.034446
5.004948	5.005145
4.980546	4.996379
4.992182	5.059244
5.001474	5.008485
5.026155	5.039022
5.012083	5.004569
5.000852	5.053703
4.979930	4.982284
5.018349	5.008018
4.957803	5.024592
4.959998	4.988249
5.027861	5.072179
4.956038	5.017020
5.018729	5.073818
5.042584	5.040928
5.043722	5.023797
4.983113	5.003398
5.034947	4.996537
5.010381	5.038133
5.046900	4.995664
5.033411	5.020355
4.981191	5.044468
5.053333	5.051177
5.026131	5.026346
4.982081	5.009516
5.012541	4.989130
5.028263	5.034761
4.998342	5.038855
4.957396	5.064539
5.048822	5.044900
5.001531	5.035182
4.961509	5.039045
4.958478	5.030579
5.016214	5.012703
4.983581	5.068850
5.027086	5.033564
5.009326	5.050978
5.024249	5.046626
5.017539	5.000875
4.983628	5.012459
5.007272	5.020790
5.032635	4.993697
5.020663	5.060559
5.050218	5.067931
5.018824	5.086891
4.977427	4.999256
4.997824	5.059512
4.977911	5.003438
5.028739	5.021666
5.004884	5.031634
4.963498	4.993151
5.021240	5.052708
5.018839	5.041112
5.043133	5.025713
5.001513	4.992218
4.998842	5.060429
5.018824	5.026828
5.046209	5.090215
4.985120	5.073838
4.954730	5.036009
5.029693	5.049778
4.960848	5.089801
5.005903	5.086321
5.032151	5.046764
5.007044	5.084872
5.032551	5.069339
4.983804	5.091208
4.991874	5.035372
4.999268	5.012033
4.978582	5.082393
5.029892	5.091119
5.001545	5.079236
5.014807	4.998740
5.003318	5.014248
5.036522	5.077125
5.032153	5.026473
5.001599	5.083019
5.038725	5.007450
5.001703	5.089674
5.048152	5.017434
4.959236	4.999759
4.989676	5.053767
5.011006	5.084975
4.973480	5.077309
5.019519	5.086898
5.018568	5.035536
5.027329	5.050681
5.029944	5.060606
5.013386	5.010242
5.032775	5.080658
4.980775	5.035097
4.977769	5.074546
4.957756	5.012638
5.023907	5.093052
4.996303	5.080231
4.964068	5.076571
5.022515	5.034694
5.049839	5.000938
4.995548	5.055083
4.968782	5.093040
4.952394	5.037533
4.979302	5.009649
4.996286	5.082391
4.955583	5.009991
4.957242	4.993702
4.955909	5.079868
5.017042	5.090735
4.954635	5.065383
5.037598	5.065182
4.971070	5.047996
4.974545	5.053086
4.960798	5.003367
5.042968	5.061499
4.967689	5.075060
4.986734	5.071171
4.959518	5.002258
5.011020	5.083639
4.989979	5.028141
4.998448	5.024260
5.049991	5.087305
4.967683	5.000564
5.045770	5.066704
4.997487	5.028727
5.045484	4.999860
4.984307	5.088765
5.040138	5.058360
4.954413	5.073349
5.022435	5.086546
5.036820	5.053221
4.980109	4.992760
5.013232	5.039294
5.049200	5.007899
5.001916	5.050766
5.032307	5.026970
5.020048	5.052228
4.954790	5.073435
4.962383	5.063649
5.049799	5.025850
4.977054	5.056891
4.958258	4.993139
4.952665	5.068159
5.000985	5.059948
4.972334	4.990771
5.031312	5.037154
5.007978	5.079562
4.984000	5.011321
5.002626	5.078401
4.992338	5.001247
5.005288	5.008800
5.047925	5.069165
4.958453	5.063577
4.955679	5.055081
4.978455	5.069633
5.012653	4.997561
4.990650	5.000495
5.021606	5.004265
4.989660	5.037058
4.963463	5.071338
4.986494	5.042118
5.034688	5.015661
5.022776	5.051388
5.007532	4.990103
4.978827	5.011011
5.009384	5.041303
4.989757	4.999082
4.968155	5.002595
4.953250	5.070379
5.042277	5.068757
5.035432	4.999246
5.037877	5.010594
5.026027	5.015076
5.011993	4.997573
4.970880	4.997589
4.976479	5.057468
4.951721	5.046669
4.984684	5.032725
5.025686	5.040623
4.978899	5.004439
4.951118	5.009152
4.953774	5.063024
5.019863	4.983281
4.977931	5.010727
4.960570	5.071058
4.988843	4.989550
5.014024	5.051887
4.984785	4.982620
5.013770	5.070477
5.015983	5.040759
5.042329	4.985432
5.022475	5.014849
4.961943	5.031558
5.019145	5.037451
4.974420	5.000943
5.038451	5.047690
5.013582	5.010769
4.956272	5.050406
5.020577	5.047096
4.993656	5.066934
4.974060	4.982031
5.016965	5.003900
5.009726	4.971740
5.026137	5.021187
4.983273	5.067945
5.023819	4.973227
4.953502	5.020531
4.961417	5.011878
5.038386	5.052687
4.983390	5.041557
5.048696	4.973599
5.009755	5.045575
4.976482	4.987138
4.985755	5.028159
4.999261	5.028225
4.978184	5.052722
5.030717	5.053647
4.977097	4.982744
4.969536	5.040699
5.024819	5.053233
5.018444	5.061533
5.020575	5.004639
4.966879	4.975386
4.989005	4.985659
5.014013	5.001575
4.965767	5.057627
4.966788	5.008847
5.031586	5.002378
5.032739	5.011875
5.038204	4.972588
4.962339	5.011644
5.014557	5.040714
5.006678	4.978298
5.036132	4.993406
5.025193	5.061273
4.953507	5.002135
5.035773	5.028626
4.997287	5.039181
4.998998	5.023112
5.001985	4.979266
4.989248	4.963162
4.988827	4.980729
4.970873	5.015632
4.961265	4.991489
5.021890	4.980367
4.952613	5.009878
5.050146	5.020597
4.957966	5.040209
4.989602	5.020724
4.983573	4.999496
5.015728	5.005799
4.999688	4.959172
4.952688	5.001859
4.954426	4.973992
4.990743	5.004634
4.997259	5.039119
5.045724	5.011946
4.979235	4.961136
5.016172	4.984744
5.017047	4.961806
4.951325	4.991458
5.021934	4.970105
4.997498	4.991823
4.959127	4.975827
4.995781	4.984512
4.987268	5.030132
5.044875	5.033938
4.974892	5.054133
5.029641	5.042188
5.040676	4.974951
5.041042	4.975093
4.972852	5.048112
4.983705	5.020327
4.951974	4.962406
4.992043	5.002118
5.031906	4.968454
5.034384	5.040354
4.958683	5.041079
5.047253	5.018321
4.965386	4.954893
5.027869	5.047798
5.000508	5.016392
5.022783	4.960601
5.028414	4.979606
5.045470	5.027909
5.011115	4.970613
4.980683	4.953327
5.039794	4.963821
4.986029	4.985362
4.962089	5.019232
4.986361	4.959657
4.993903	4.999839
5.020891	4.962936
5.039686	5.012247
4.961222	5.003774
5.037460	5.009595
4.958962	5.029498
4.971796	5.001115
4.950979	4.958813
4.989706	5.016383
5.017621	5.030233
5.029175	4.985819
5.002136	4.948065
5.005766	4.949528
4.999565	4.973696
5.043744	5.041865
5.039383	4.987521
5.008562	4.962280
5.001665	4.977633
4.985243	4.963559
4.967100	4.984259
5.014923	5.013124
4.965280	5.019725
4.963435	4.959917
4.960577	4.971125
5.032252	5.043784
4.960882	5.016396
4.986224	4.988639
5.025965	4.960130
5.036978	4.991474
4.957852	5.005519
5.006840	5.020782
4.984771	4.963869
4.967326	5.027421
5.032949	4.967889
5.009411	5.035479
5.031679	5.040123
4.984315	4.994808
5.040357	4.977756
4.961799	4.963886
5.009315	4.952236
5.014696	4.960582
4.956210	5.007399
5.031486	5.019848
5.046016	4.992515
5.026025	4.970549
4.999344	5.005862
5.009447	5.027612
4.987430	4.963341
4.964955	5.022125
4.979331	4.997174
5.013839	4.994149
4.995074	4.998855
5.036831	4.974975
5.019507	4.984118
5.010518	5.033351
4.989197	5.029459
4.997325	5.035000
4.979030	4.999043
